date_time,temp,date,time,weekday,month,year,temp_deseasoned1,deseasoned_24hr_smooth,deseasoned_weekly_smooth
2016-08-26 01:00:00,76.47440000000006,2016-08-26,01:00:00,Friday,August,2016,2.8368000000000393,0.6062399999999695,0.4032685714285649
2016-08-26 02:00:00,75.18200000000002,2016-08-26,02:00:00,Friday,August,2016,3.225599999999943,0.8166899999999634,0.43101857142856465
2016-08-26 03:00:00,73.01840000000001,2016-08-26,03:00:00,Friday,August,2016,2.257199999999912,0.9836399999999573,0.45272571428570696
2016-08-26 04:00:00,72.15800000000002,2016-08-26,04:00:00,Friday,August,2016,2.7900000000000205,1.1757899999999626,0.48045857142856396
2016-08-26 05:00:00,70.5488000000001,2016-08-26,05:00:00,Friday,August,2016,2.4300000000000495,1.3241399999999637,0.5049342857142783
2016-08-26 06:00:00,70.50920000000002,2016-08-26,06:00:00,Friday,August,2016,3.394799999999961,1.5305399999999612,0.5372742857142776
2016-08-26 07:00:00,69.01160000000013,2016-08-26,07:00:00,Friday,August,2016,2.7144000000001824,1.6991399999999743,0.5664021428571363
2016-08-26 08:00:00,69.01520000000005,2016-08-26,08:00:00,Friday,August,2016,1.9152000000000555,1.81793999999998,0.5891657142857083
2016-08-26 09:00:00,72.65480000000002,2016-08-26,09:00:00,Friday,August,2016,0.5688000000000528,1.8573899999999846,0.5989007142857093
2016-08-26 10:00:00,76.94240000000012,2016-08-26,10:00:00,Friday,August,2016,-0.8531999999999016,1.8410399999999907,0.589347857142853
2016-08-26 11:00:00,82.17680000000007,2016-08-26,11:00:00,Friday,August,2016,-1.5587999999999624,1.7430899999999923,0.5666592857142818
2016-08-26 12:00:00,85.10720000000003,2016-08-26,12:00:00,Friday,August,2016,-2.048399999999944,1.649339999999994,0.5328921428571393
2016-08-26 13:00:00,86.95400000000004,2016-08-26,13:00:00,Friday,August,2016,-1.4832000000000392,1.5822899999999933,0.5021999999999964
2016-08-26 14:00:00,88.57400000000014,2016-08-26,14:00:00,Friday,August,2016,-1.9439999999999316,1.4477399999999967,0.46788642857142515
2016-08-26 15:00:00,89.82680000000006,2016-08-26,15:00:00,Friday,August,2016,-1.6775999999999414,1.3115399999999973,0.45227999999999674
2016-08-26 16:00:00,90.8204,2016-08-26,16:00:00,Friday,August,2016,-1.659600000000026,1.1831399999999952,0.44081357142856764
2016-08-26 17:00:00,90.32000000000006,2016-08-26,17:00:00,Friday,August,2016,-2.5775999999998334,1.0062900000000023,0.4166399999999976
2016-08-26 18:00:00,89.60360000000004,2016-08-26,18:00:00,Friday,August,2016,-2.6855999999999938,0.8255400000000025,0.3908314285714254
2016-08-26 19:00:00,88.09160000000006,2016-08-26,19:00:00,Friday,August,2016,-3.1536000000000257,0.6222900000000037,0.3641314285714259
2016-08-26 20:00:00,86.56160000000004,2016-08-26,20:00:00,Friday,August,2016,-3.30840000000002,0.3435900000000001,0.32958857142856945
2016-08-26 21:00:00,82.5692000000001,2016-08-26,21:00:00,Friday,August,2016,-2.368800000000064,0.17003999999999367,0.30166714285714075
2016-08-26 22:00:00,80.9024000000001,2016-08-26,22:00:00,Friday,August,2016,-0.5939999999999799,0.09368999999999221,0.2868342857142838
2016-08-26 23:00:00,77.99720000000005,2016-08-26,23:00:00,Friday,August,2016,-2.239200000000068,-0.08931000000001295,0.2619621428571411
2016-08-27 00:00:00,76.16840000000002,2016-08-27,00:00:00,Saturday,August,2016,-1.6092000000000297,-0.317850000000013,0.24040071428571227
2016-08-27 01:00:00,74.40439999999998,2016-08-27,01:00:00,Saturday,August,2016,-2.0700000000000784,-0.5223000000000179,0.20926714285714024
2016-08-27 02:00:00,73.68440000000005,2016-08-27,02:00:00,Saturday,August,2016,-1.497599999999963,-0.719100000000014,0.1862549999999974
2016-08-27 03:00:00,72.40280000000004,2016-08-27,03:00:00,Saturday,August,2016,-0.6155999999999722,-0.8388000000000092,0.16596428571428312
2016-08-27 04:00:00,71.24360000000014,2016-08-27,04:00:00,Saturday,August,2016,-0.9143999999998726,-0.9931500000000048,0.13905857142856906
2016-08-27 05:00:00,69.91160000000002,2016-08-27,05:00:00,Saturday,August,2016,-0.6372000000000781,-1.12095000000001,0.11455285714285364
2016-08-27 06:00:00,69.31759999999993,2016-08-27,06:00:00,Saturday,August,2016,-1.1916000000000935,-1.3120500000000124,0.08689714285713897
2016-08-27 07:00:00,69.21680000000009,2016-08-27,07:00:00,Saturday,August,2016,0.2051999999999623,-1.4166000000000214,0.06253499999999554
2016-08-27 08:00:00,69.54800000000003,2016-08-27,08:00:00,Saturday,August,2016,0.5327999999999804,-1.4742000000000246,0.0417085714285668
2016-08-27 09:00:00,73.90759999999997,2016-08-27,09:00:00,Saturday,August,2016,1.2527999999999508,-1.4457000000000289,0.03639642857142305
2016-08-27 10:00:00,79.0988,2016-08-27,10:00:00,Saturday,August,2016,2.156399999999877,-1.320300000000038,0.0530464285714218
2016-08-27 11:00:00,83.58440000000003,2016-08-27,11:00:00,Saturday,August,2016,1.4075999999999596,-1.1967000000000414,0.08013214285713624
2016-08-27 12:00:00,86.72000000000006,2016-08-27,12:00:00,Saturday,August,2016,1.6128000000000213,-1.0441500000000428,0.11026071428570715
2016-08-27 13:00:00,89.1032000000001,2016-08-27,13:00:00,Saturday,August,2016,2.1492000000000644,-0.8928000000000385,0.15011142857142235
2016-08-27 14:00:00,91.11200000000004,2016-08-27,14:00:00,Saturday,August,2016,2.5379999999998972,-0.7060500000000456,0.19602642857142247
2016-08-27 15:00:00,92.11279999999994,2016-08-27,15:00:00,Saturday,August,2016,2.2859999999998735,-0.5409000000000533,0.2306057142857075
2016-08-27 16:00:00,92.17400000000013,2016-08-27,16:00:00,Saturday,August,2016,1.353600000000128,-0.4153500000000469,0.258629999999994
2016-08-27 17:00:00,92.19920000000003,2016-08-27,17:00:00,Saturday,August,2016,1.879199999999969,-0.22965000000005512,0.2900614285714221
2016-08-27 18:00:00,90.8636,2016-08-27,18:00:00,Saturday,August,2016,1.2599999999999625,-0.06525000000005694,0.3132042857142793
2016-08-27 19:00:00,88.69639999999998,2016-08-27,19:00:00,Saturday,August,2016,0.6047999999999263,0.09134999999994105,0.3298907142857068
